quantity,value,unit
T_prod,300.0235771257485,K
P_prod,8.075887917564874,atm
density_prod,0.9881770084231537,g/cm^3
D_O,2.601823908447241,1e-5 cm^2/s
D_COM,2.601651637200547,1e-5 cm^2/s
Dr_dipole_C1,0.10070584495395096,1/ps
Dr_dipole_amsd,0.10189198192459971,1/ps
Dr_dipole_unwrap,0.16875444390235778,1/ps
Dr_body_C1,0.11768838465736363,1/ps
Dr_body_amsd,0.13456120407159858,1/ps
Dr_body_unwrap,0.20740557975915966,1/ps
eta_GK,0.6610195284218714,cP
